,age,age,age,age,bmi,bmi,bmi,bmi,systolic_bp,systolic_bp,systolic_bp,systolic_bp
,mean,std,min,max,mean,std,min,max,mean,std,min,max
site,,,,,,,,,,,,
  SITE A  ,23.61,246.54,-999,100,25.87,4.81,-1.0,37.5,116.63,14.39,85.0,152.0
  SITE B  ,59.67,157.42,-999,100,26.82,3.56,18.5,37.7,118.06,13.35,83.0,153.0
  SITE C  ,60.25,146.07,-999,100,25.69,6.68,-1.0,33.7,115.94,12.48,85.0,142.0
  SITE D  ,77.85,11.5,55,100,25.89,8.0,-1.0,41.3,119.51,13.59,85.0,151.0
  SITE E  ,12.26,270.21,-999,100,25.5,3.44,20.5,34.5,113.07,14.61,89.0,150.0
  Site  A  ,80.33,14.43,49,100,25.45,5.81,-1.0,33.0,118.55,14.89,89.0,148.0
  Site A  ,49.84,190.21,-999,100,26.26,4.04,18.0,34.2,119.68,14.41,86.0,147.0
  Site B  ,56.32,162.42,-999,100,26.52,3.8,16.7,34.3,117.04,12.67,91.0,149.0
  Site C  ,27.83,232.8,-999,100,26.45,3.56,17.6,35.1,116.42,13.23,87.0,144.0
  Site D  ,-25.31,318.34,-999,100,26.39,3.76,17.9,33.0,117.41,13.12,93.0,143.0
  Site E  ,75.5,13.8,49,100,27.1,5.83,-1.0,35.4,119.6,16.29,90.0,153.0
  Site_D  ,9.87,269.61,-999,100,25.53,3.41,19.8,33.9,118.83,16.02,94.0,160.0
  site a  ,67.27,126.51,-999,100,25.61,5.85,-1.0,35.6,116.7,14.6,84.0,148.0
  site b  ,57.02,160.59,-999,100,25.62,4.35,-1.0,35.4,117.39,13.28,84.0,147.0
  site c  ,80.93,14.75,53,100,26.36,3.8,17.2,36.5,119.71,16.6,77.0,161.0
  site d  ,81.0,14.42,57,100,27.18,3.5,17.9,33.1,121.33,17.12,75.0,162.0
  site e  ,83.19,12.83,57,100,26.33,5.6,-1.0,37.6,120.0,13.66,90.0,145.0
SITE A,60.91,148.25,-999,100,26.06,4.82,-1.0,42.5,117.09,14.31,81.0,160.0
SITE B,63.63,134.77,-999,100,25.67,4.9,-1.0,37.3,117.03,13.84,82.0,170.0
SITE C,55.46,162.99,-999,100,25.69,5.82,-1.0,42.8,117.64,13.87,79.0,167.0
SITE D,55.51,160.26,-999,100,25.86,5.38,-1.0,37.6,118.49,13.32,80.0,152.0
SITE E,51.87,176.23,-999,100,25.14,6.09,-1.0,38.7,117.44,13.96,79.0,167.0
Site  A,53.77,169.13,-999,100,25.73,5.42,-1.0,38.9,118.63,14.37,81.0,167.0
Site A,61.44,144.93,-999,100,25.98,4.29,-1.0,35.8,117.09,13.83,80.0,173.0
Site B,56.91,158.06,-999,100,25.57,5.02,-1.0,37.4,117.12,12.76,83.0,155.0
Site C,60.89,145.16,-999,100,25.85,5.26,-1.0,37.5,118.51,14.08,81.0,159.0
Site D,67.47,127.09,-999,100,25.64,6.59,-1.0,38.5,118.02,14.31,79.0,165.0
Site E,56.43,158.98,-999,100,25.58,6.12,-1.0,37.8,117.07,15.26,83.0,160.0
Site_D,77.99,60.86,-999,100,25.17,5.96,-1.0,37.6,117.49,13.45,81.0,150.0
site a,49.8,182.5,-999,100,25.77,5.24,-1.0,39.0,116.34,13.64,79.0,165.0
site b,68.41,112.3,-999,100,25.64,5.46,-1.0,39.0,117.09,14.16,81.0,153.0
site c,56.83,161.8,-999,100,25.7,5.37,-1.0,38.4,117.97,13.93,83.0,159.0
site d,61.88,141.17,-999,100,25.29,5.74,-1.0,37.3,117.21,13.98,82.0,155.0
site e,61.86,140.44,-999,100,25.38,6.36,-1.0,37.7,117.91,14.69,82.0,166.0
